"data.list.id","title","date.created","rw.url"
"630577","Ban hails opposition group’s ‘courageous’ decision to attend peace conference",2014-01-20,"http://reliefweb.int/node/630577"
"630559","West hails Syria opposition vote to join peace talks",2014-01-19,"http://reliefweb.int/node/630559"
"630539","Statement by the Secretary-General on the Geneva Conference on Syria",2014-01-19,"http://reliefweb.int/node/630539"
"630515","Geneva II conference on Syria conflict: Amnesty International’s calls",2014-01-19,"http://reliefweb.int/node/630515"
"630503","Syria govt warplanes bomb Aleppo, killing 34: monitor",2014-01-18,"http://reliefweb.int/node/630503"
"630497","Syrian rebels try to agree peace talks stance in Turkey",2014-01-18,"http://reliefweb.int/node/630497"
"630494","Syrian opposition mulls participation in peace talks",2014-01-18,"http://reliefweb.int/node/630494"
"630546","Dozens evacuated from besieged Damascus camp: Palestinian official",2014-01-18,"http://reliefweb.int/node/630546"
"630490","Aid enters besieged Damascus refugee camp: Palestinian official",2014-01-18,"http://reliefweb.int/node/630490"
"630453","The human toll of the Syria crisis must be addressed long term",2014-01-18,"http://reliefweb.int/node/630453"
"630414","UNHCR joins call in Turkey for solidarity with countries hosting Syrian refugees",2014-01-17,"http://reliefweb.int/node/630414"
"630378","Impeding aid to besieged civilians in Yarmouk camp in Syria may amount to war crime – Pillay",2014-01-17,"http://reliefweb.int/node/630378"
"630353","Making the most of Geneva II",2014-01-17,"http://reliefweb.int/node/630353"
"630342","Syria's uprising within an uprising",2014-01-17,"http://reliefweb.int/node/630342"
"630308","Humanitarian Bulletin Syria Issue 40 | 17 December 2013 – 13 January 2014 [EN/AR]",2014-01-17,"http://reliefweb.int/node/630308"
"630298","Syria offers rebels concessions ahead of peace talks",2014-01-17,"http://reliefweb.int/node/630298"
"630269","“How Much Longer?”",2014-01-17,"http://reliefweb.int/node/630269"
"630145","More NZ support for Syrian refugees",2014-01-17,"http://reliefweb.int/node/630145"
"630119","Funds, Syria peace talks raise hope",2014-01-16,"http://reliefweb.int/node/630119"
"630093","Trans-loading of Syrian Chemicals to be Undertaken at Port of Gioia Tauro in Italy",2014-01-16,"http://reliefweb.int/node/630093"
"630058","Syria peace conference must end starvation for besieged civilians",2014-01-16,"http://reliefweb.int/node/630058"
"630029","Soaring number of executions in violation of international law – Pillay",2014-01-16,"http://reliefweb.int/node/630029"
"629984","Nearly 1,100 killed in Syria rebel-jihadist battles: NGO",2014-01-16,"http://reliefweb.int/node/629984"
"629933","Syria Integrated Needs Assessment - December 2013 [EN/AR/TR]",2014-01-16,"http://reliefweb.int/node/629933"
"629891","A family's flight, paved by Syria's horrors",2014-01-16,"http://reliefweb.int/node/629891"
"629864","UN agency determined to reach besieged Palestinian refugee camp near Damascus",2014-01-16,"http://reliefweb.int/node/629864"
"629850","Australia pledges $12 million to help the Syrian people",2014-01-16,"http://reliefweb.int/node/629850"
"629822","R2P Monitor - 15 January 2014 Issue 13",2014-01-15,"http://reliefweb.int/node/629822"
"629794","Aid to Syria: the 5 big questions",2014-01-15,"http://reliefweb.int/node/629794"
"629786","U.S. Humanitarian Assistance in Response to the Syrian Crisis",2014-01-15,"http://reliefweb.int/node/629786"
"629782","Thirty-eight million euros from Italy to tackle the humanitarian emergency",2014-01-15,"http://reliefweb.int/node/629782"
"629763","In Kuwait Finland pledges 7 million euros for the victims of the crisis in Syria",2014-01-15,"http://reliefweb.int/node/629763"
"629758","Foreign Minister Steinmeier: Germany to increase humanitarian assistance for the victims of the Syria conflict by 80 million euros",2014-01-15,"http://reliefweb.int/node/629758"
